SSATier1,SSATier2,Provision,LevelOfLearning,AppType,Sex,AgeGroup,Ethnicity,IndustrySection,NumberSustainedEmployment,SustainedEmploymentPercent
Preparation for Life and Work,Foundations for Learning and Life,All,All,Not applicable,All,50 and over,All,Activities Of Households As Employers - Undifferentiated Goods-and Services-producing Activities Of Households For Own Use,140.0,0.0
"Construction, Planning and the Built Environment",Building and Construction,All,All,Standard apprenticeship,All,19 - 24,All,Public Administration And Defence - Compulsory Social Security,50.0,0.0
"Construction, Planning and the Built Environment",All,Apprenticeship,All,Standard apprenticeship,All,25 - 49,All,Construction,410.0,0.0
Retail and Commercial Enterprise,Service Enterprises,All,All,Not applicable,All,All,White,Public Administration And Defence - Compulsory Social Security,180.0,0.0
Education and Training,All,All,All,Not applicable,All,All,Asian / Asian British,Administrative And Support Service Activities,290.0,0.0
Retail and Commercial Enterprise,Retailing and Wholesaling,All,Higher (Level 4) Apprenticeship,Standard apprenticeship,All,All,All,Wholesale And Retail Trade - Repair Of Motor Vehicles And Motorcycles,200.0,0.0
"Languages, Literature and Culture",All,Education & Training,Level 1 / Other Entry Level,Not applicable,All,All,All,Information And Communication,100.0,0.0
"Construction, Planning and the Built Environment",All,Education & Training,Level 1 / Other Entry Level,All,All,All,All,"Arts, Entertainment And Recreation",250.0,0.0
Engineering and Manufacturing Technologies,Manufacturing Technologies,All,All,Framework apprenticeship,All,25 - 49,All,Manufacturing,240.0,0.0
Preparation for Life and Work,Preparation for Work,All,All,Not applicable,All,19 - 24,All,Real Estate Activities,30.0,0.0
Engineering and Manufacturing Technologies,All,Education & Training,All,All,All,19 - 24,All,Administrative And Support Service Activities,1110.0,0.0
Science and Mathematics,Mathematics and Statistics,Education & Training,All,All,All,All,Mixed / Multiple ethnic groups,Wholesale And Retail Trade - Repair Of Motor Vehicles And Motorcycles,240.0,0.0
"Leisure, Travel and Tourism","Sport, Leisure and Recreation",Education & Training,Full level 3,Not applicable,All,All,All,Manufacturing,200.0,0.0
"Agriculture, Horticulture and Animal Care",All,Education & Training,Full level 2,Not applicable,All,All,All,"Arts, Entertainment And Recreation",130.0,0.0
Education and Training,All,Apprenticeship,Higher (Level 7+) Apprenticeship,All,All,All,All,All,150.0,0.0
Engineering and Manufacturing Technologies,All,All,Intermediate Apprenticeship,Framework apprenticeship,All,All,All,All,490.0,0.0
Engineering and Manufacturing Technologies,Engineering,All,All,Not applicable,All,25 - 49,All,Public Administration And Defence - Compulsory Social Security,140.0,0.0
Education and Training,All,Apprenticeship,Higher (Level 5) Apprenticeship,All,All,All,All,Other Service Activities,10.0,0.0
"Languages, Literature and Culture",All,All,All,All,All,All,White,Public Administration And Defence - Compulsory Social Security,400.0,0.0
"Leisure, Travel and Tourism","Sport, Leisure and Recreation",Education & Training,All,All,All,All,Unknown,Transportation And Storage,10.0,0.0
Engineering and Manufacturing Technologies,Manufacturing Technologies,All,All,Not applicable,All,All,Asian / Asian British,Administrative And Support Service Activities,30.0,0.0
Engineering and Manufacturing Technologies,Engineering,Apprenticeship,All,Framework apprenticeship,All,All,All,Administrative And Support Service Activities,20.0,0.0
Education and Training,Direct Learning Support,All,All,All,All,18 and under,All,Manufacturing,70.0,0.0
Science and Mathematics,Mathematics and Statistics,Education & Training,All,All,All,All,Black / African / Caribbean / Black British,Transportation And Storage,90.0,0.0
"Business, Administration and Law",All,Apprenticeship,All,All,All,All,Mixed / Multiple ethnic groups,"Professional, Scientific And Technical Activities",180.0,0.0
"Health, Public Services and Care",Medicine and Dentistry,Education & Training,All,All,All,All,White,All,110.0,0.0
Preparation for Life and Work,All,All,All,All,All,All,Unknown,"Arts, Entertainment And Recreation",50.0,0.0
Preparation for Life and Work,Foundations for Learning and Life,All,Other,Not applicable,All,All,All,Accommodation And Food Service Activities,60.0,0.0
All,All,Traineeship,All,Not applicable,All,All,All,"Arts, Entertainment And Recreation",170.0,0.0
"Construction, Planning and the Built Environment",Not Applicable / Not Known,All,All,All,All,All,Mixed / Multiple ethnic groups,All,20.0,0.0
Education and Training,All,Apprenticeship,All,Standard apprenticeship,All,25 - 49,All,Administrative And Support Service Activities,40.0,0.0
Retail and Commercial Enterprise,Service Enterprises,All,All,All,All,All,Black / African / Caribbean / Black British,Financial And Insurance Activities,20.0,0.0
"Leisure, Travel and Tourism",All,Apprenticeship,All,Standard apprenticeship,All,All,White,Construction,20.0,0.0
"Business, Administration and Law",All,Education & Training,All,Not applicable,All,19 - 24,All,Transportation And Storage,250.0,0.0
Engineering and Manufacturing Technologies,All,Education & Training,All,Not applicable,All,All,White,"Electricity, Gas, Steam And Air Conditioning Supply",170.0,0.0
"Business, Administration and Law",Administration,Education & Training,All,All,All,50 and over,All,Manufacturing,80.0,0.0
"Construction, Planning and the Built Environment",Building and Construction,Apprenticeship,All,Standard apprenticeship,Male,All,All,"Arts, Entertainment And Recreation",20.0,0.0
"Health, Public Services and Care",Nursing and Subjects and Vocations Allied to Medicine,Education & Training,All,All,All,18 and under,All,Wholesale And Retail Trade - Repair Of Motor Vehicles And Motorcycles,30.0,0.0
"Languages, Literature and Culture","Languages, Literature and Culture of the British Isles",All,All,All,All,All,Other ethnic group,Human Health And Social Work Activities,80.0,0.0
"Construction, Planning and the Built Environment",Building and Construction,Education & Training,All,Not applicable,All,All,Asian / Asian British,Other Service Activities,20.0,0.0
"Construction, Planning and the Built Environment",Not Applicable / Not Known,Education & Training,All,All,Female,All,All,"Professional, Scientific And Technical Activities",10.0,0.0
"Agriculture, Horticulture and Animal Care",Environmental Conservation,All,All,Standard apprenticeship,All,All,White,Transportation And Storage,c,0.0
Education and Training,All,All,Level 5,All,All,All,All,Accommodation And Food Service Activities,c,0.0
Engineering and Manufacturing Technologies,All,All,All,All,All,50 and over,All,Construction,80.0,0.0
"Business, Administration and Law",Business Management,All,All,Framework apprenticeship,All,All,All,Administrative And Support Service Activities,c,0.0
"Arts, Media and Publishing",Media and Communication,Education & Training,All,Not applicable,Female,All,All,Other Service Activities,50.0,0.0
Digital Technology,All,Apprenticeship,All,Standard apprenticeship,All,All,Asian / Asian British,Education,40.0,0.0
"Health, Public Services and Care",Not Applicable / Not Known,Education & Training,All,All,Female,All,All,Administrative And Support Service Activities,40.0,0.0
All,All,Education & Training,All,Not applicable,All,All,Unknown,Financial And Insurance Activities,90.0,0.0
"Leisure, Travel and Tourism",Travel and Tourism,Education & Training,Level 5,Not applicable,All,All,All,Education,c,0.0
"History, Philosophy and Theology",Archaeology and Archaeological Sciences,All,All,All,All,All,Black / African / Caribbean / Black British,Wholesale And Retail Trade - Repair Of Motor Vehicles And Motorcycles,c,0.0
All,All,Education & Training,All,All,All,All,Mixed / Multiple ethnic groups,"Electricity, Gas, Steam And Air Conditioning Supply",20.0,0.0
"Agriculture, Horticulture and Animal Care",Animal Care and Veterinary Science,Education & Training,All,All,All,50 and over,All,Public Administration And Defence - Compulsory Social Security,10.0,0.0
Engineering and Manufacturing Technologies,All,All,All,Framework apprenticeship,All,25 - 49,All,Transportation And Storage,20.0,0.0
Engineering and Manufacturing Technologies,All,All,Higher (Level 5) Apprenticeship,All,All,All,All,All,60.0,0.0
"Business, Administration and Law",Business Management,All,Level 3 Other,Not applicable,All,All,All,Other Service Activities,20.0,0.0
"Leisure, Travel and Tourism",All,Apprenticeship,All,Standard apprenticeship,All,18 and under,All,Manufacturing,10.0,0.0
Preparation for Life and Work,All,Education & Training,Level 2 ESOL,All,All,All,All,Activities Of Households As Employers - Undifferentiated Goods-and Services-producing Activities Of Households For Own Use,20.0,0.0
"Arts, Media and Publishing",All,Apprenticeship,All,All,All,19 - 24,All,Human Health And Social Work Activities,10.0,0.0
"Arts, Media and Publishing",Performing Arts,Education & Training,All,All,Female,All,All,"Agriculture, Forestry And Fishing",40.0,0.0
Digital Technology,Digital technology (practitioners),Apprenticeship,All,Framework apprenticeship,All,All,White,Information And Communication,10.0,0.0
Preparation for Life and Work,Preparation for Work,All,Level 3 Other,Not applicable,All,All,All,Financial And Insurance Activities,c,0.0
"Business, Administration and Law",Accounting and Finance,All,All,All,Male,All,All,"Water Supply - Sewerage, Waste Management And Remediation Activities",20.0,0.0
"Leisure, Travel and Tourism","Sport, Leisure and Recreation",Education & Training,Full level 2,All,All,All,All,Accommodation And Food Service Activities,20.0,0.0
"Business, Administration and Law",Law and Legal Services,All,All,Not applicable,All,All,White,Activities Of Households As Employers - Undifferentiated Goods-and Services-producing Activities Of Households For Own Use,c,0.0
Digital Technology,All,Education & Training,Entry Level Digital,Not applicable,All,All,All,Construction,30.0,0.0
Retail and Commercial Enterprise,All,All,All,Standard apprenticeship,All,All,Other ethnic group,"Arts, Entertainment And Recreation",c,0.0
"Leisure, Travel and Tourism",All,All,All,Standard apprenticeship,All,19 - 24,All,Human Health And Social Work Activities,40.0,0.0
Retail and Commercial Enterprise,Warehousing and Distribution,Apprenticeship,All,All,All,All,White,Accommodation And Food Service Activities,10.0,0.0
Retail and Commercial Enterprise,Retailing and Wholesaling,Education & Training,All,All,All,25 - 49,All,"Professional, Scientific And Technical Activities",10.0,0.0
Education and Training,Direct Learning Support,Education & Training,All,All,All,All,Other ethnic group,Activities Of Extraterritorial Organisations And Bodies,c,0.0
"Leisure, Travel and Tourism","Sport, Leisure and Recreation",Apprenticeship,All,Framework apprenticeship,Male,All,All,All,10.0,0.0
Science and Mathematics,Science,All,All,All,All,25 - 49,All,"Professional, Scientific And Technical Activities",40.0,0.0
"Business, Administration and Law",Administration,Apprenticeship,All,All,All,All,Mixed / Multiple ethnic groups,Transportation And Storage,10.0,0.0
Preparation for Life and Work,All,Education & Training,Level 2 Other,All,All,All,All,"Electricity, Gas, Steam And Air Conditioning Supply",10.0,0.0
Preparation for Life and Work,Foundations for Learning and Life,All,Entry Level Digital,Not applicable,All,All,All,Information And Communication,10.0,0.0
"Health, Public Services and Care",Nursing and Subjects and Vocations Allied to Medicine,All,Level 2 Other,Not applicable,All,All,All,Human Health And Social Work Activities,10.0,0.0
Retail and Commercial Enterprise,Service Enterprises,Education & Training,Level 4,All,All,All,All,Public Administration And Defence - Compulsory Social Security,10.0,0.0
Engineering and Manufacturing Technologies,Transportation Operations and Maintenance,Education & Training,All,Not applicable,All,All,All,Mining And Quarrying,10.0,0.0
"Business, Administration and Law",Business Management,All,All,Standard apprenticeship,All,All,Asian / Asian British,Real Estate Activities,10.0,0.0
"Business, Administration and Law",Administration,All,All,All,Female,All,All,Manufacturing,780.0,0.0
Education and Training,All,Education & Training,All,Not applicable,Female,All,All,Education,5360.0,1.0
"Health, Public Services and Care",All,All,All,All,Male,All,All,Public Administration And Defence - Compulsory Social Security,4990.0,1.0
"History, Philosophy and Theology",History,All,All,Not applicable,All,18 and under,All,Administrative And Support Service Activities,70.0,0.0
"Construction, Planning and the Built Environment",All,Education & Training,All,Not applicable,All,18 and under,All,Other Service Activities,110.0,0.0
Digital Technology,All,All,All,Not applicable,All,25 - 49,All,Administrative And Support Service Activities,1580.0,0.0
"Business, Administration and Law",Marketing and Sales,Education & Training,All,All,All,All,White,Human Health And Social Work Activities,120.0,0.0
"Business, Administration and Law",Administration,Education & Training,All,All,All,All,Asian / Asian British,Human Health And Social Work Activities,190.0,0.0
Engineering and Manufacturing Technologies,Transportation Operations and Maintenance,Education & Training,Full level 2,Not applicable,All,All,All,Administrative And Support Service Activities,80.0,0.0
"Languages, Literature and Culture","Languages, Literature and Culture of the British Isles",All,All,Not applicable,All,All,All,Construction,590.0,0.0
Digital Technology,All,Apprenticeship,Higher (Level 4) Apprenticeship,Standard apprenticeship,All,All,All,Financial And Insurance Activities,290.0,0.0
"Languages, Literature and Culture",All,Education & Training,All,Not applicable,All,All,All,Wholesale And Retail Trade - Repair Of Motor Vehicles And Motorcycles,4440.0,1.0
Education and Training,All,All,Full level 3,All,All,All,All,Human Health And Social Work Activities,200.0,0.0
